section,type,part,subpart,title,effective_date,url,char_count
1.400,section,1,1.4,Scope of subpart,,https://www.acquisition.gov/far/1.400,208
1.401,section,1,1.4,Definition,,https://www.acquisition.gov/far/1.401,1379
1.402,section,1,1.4,Policy,,https://www.acquisition.gov/far/1.402,926
1.403,section,1,1.4,Individual deviations,,https://www.acquisition.gov/far/1.403,226
1.404,section,1,1.4,Class deviations,,https://www.acquisition.gov/far/1.404,1338
1.405,section,1,1.4,Deviations pertaining to treaties and executive agreements,,https://www.acquisition.gov/far/1.405,1109
1.501,section,1,1.5,Solicitation of agency and public views,,https://www.acquisition.gov/far/1.501,0
1.501-1,section,1,1.5,Definition,,https://www.acquisition.gov/far/1.501-1,465
1.501-2,section,1,1.5,Opportunity for public comments,,https://www.acquisition.gov/far/1.501-2,860
1.501-3,section,1,1.5,Exceptions,,https://www.acquisition.gov/far/1.501-3,493
1.502,section,1,1.5,Unsolicited proposed revisions,,https://www.acquisition.gov/far/1.502,177
1.503,section,1,1.5,Public meetings,,https://www.acquisition.gov/far/1.503,161
1.601,section,1,1.6,General,,https://www.acquisition.gov/far/1.601,924
1.602,section,1,1.6,Contracting officers,,https://www.acquisition.gov/far/1.602,0
1.602-1,section,1,1.6,Authority,,https://www.acquisition.gov/far/1.602-1,742
1.602-2,section,1,1.6,Responsibilities,,https://www.acquisition.gov/far/1.602-2,2695
1.602-3,section,1,1.6,Ratification of unauthorized commitments,,https://www.acquisition.gov/far/1.602-3,2983
1.603,section,1,1.6,"Selection, appointment, and termination of appointment for contracting officers",,https://www.acquisition.gov/far/1.603,0
1.603-1,section,1,1.6,General,,https://www.acquisition.gov/far/1.603-1,623
1.603-2,section,1,1.6,Selection,,https://www.acquisition.gov/far/1.603-2,754
1.603-3,section,1,1.6,Appointment,,https://www.acquisition.gov/far/1.603-3,748
1.603-4,section,1,1.6,Termination,,https://www.acquisition.gov/far/1.603-4,314
1.604,section,1,1.6,Contracting Officer’s Representative (COR),,https://www.acquisition.gov/far/1.604,611
1.700,section,1,1.7,Scope of subpart,,https://www.acquisition.gov/far/1.700,198
1.701,section,1,1.7,Definition,,https://www.acquisition.gov/far/1.701,417
1.702,section,1,1.7,General,,https://www.acquisition.gov/far/1.702,648
1.703,section,1,1.7,Class determinations and findings,,https://www.acquisition.gov/far/1.703,596
1.704,section,1,1.7,Content,,https://www.acquisition.gov/far/1.704,1027
1.705,section,1,1.7,Supersession and modification,,https://www.acquisition.gov/far/1.705,277
1.706,section,1,1.7,Expiration,,https://www.acquisition.gov/far/1.706,520
1.707,section,1,1.7,Signatory authority,,https://www.acquisition.gov/far/1.707,221
Part 2,part,2,,Definitions of Words and Terms,,https://www.acquisition.gov/far/part-2,172
2.1,subpart,2,2.1,Definitions,,https://www.acquisition.gov/far/subpart-2.1,25
2.2,subpart,2,2.2,Definitions Clause,,https://www.acquisition.gov/far/subpart-2.2,32
2.000,section,2,2,Scope of part,,https://www.acquisition.gov/far/2.000,492
2.101,section,2,2.1,Definitions,,https://www.acquisition.gov/far/2.101,103121
2.201,section,2,2.2,Contract clause,,https://www.acquisition.gov/far/2.201,124
Part 3,part,3,,Improper Business Practices and Personal Conflicts of Interest,,https://www.acquisition.gov/far/part-3,3970
3.1,subpart,3,3.1,Safeguards,,https://www.acquisition.gov/far/subpart-3.1,24
3.2,subpart,3,3.2,Contractor Gratuities to Government Personnel,,https://www.acquisition.gov/far/subpart-3.2,59
3.3,subpart,3,3.3,Reports of Suspected Antitrust Violations,,https://www.acquisition.gov/far/subpart-3.3,55
3.4,subpart,3,3.4,Contingent Fees,,https://www.acquisition.gov/far/subpart-3.4,29
3.5,subpart,3,3.5,Other Improper Business Practices,,https://www.acquisition.gov/far/subpart-3.5,47
3.6,subpart,3,3.6,Contracts with Government Employees or Organizations Owned or Controlled by Them,,https://www.acquisition.gov/far/subpart-3.6,94
3.7,subpart,3,3.7,Voiding and Rescinding Contracts,,https://www.acquisition.gov/far/subpart-3.7,46
3.8,subpart,3,3.8,Limitations on the Payment of Funds to Influence Federal Transactions,,https://www.acquisition.gov/far/subpart-3.8,83
3.9,subpart,3,3.9,Whistleblower Protections for Contractor Employees,,https://www.acquisition.gov/far/subpart-3.9,64
3.10,subpart,3,3.10,Contractor Code of Business Ethics and Conduct,,https://www.acquisition.gov/far/subpart-3.10,61
3.11,subpart,3,3.11,Preventing Personal Conflicts of Interest for Contractor Employees Performing Acquisition Functions,,https://www.acquisition.gov/far/subpart-3.11,114
3.000,section,3,3,Scope of part,,https://www.acquisition.gov/far/3.000,178
3.101,section,3,3.1,Standards of conduct,,https://www.acquisition.gov/far/3.101,0
3.101-1,section,3,3.1,General,,https://www.acquisition.gov/far/3.101-1,712
3.101-2,section,3,3.1,Solicitation and acceptance of gratuities by Government personnel,,https://www.acquisition.gov/far/3.101-2,516
3.101-3,section,3,3.1,Agency regulations,,https://www.acquisition.gov/far/3.101-3,522
3.102,section,3,3.1,[Reserved],,https://www.acquisition.gov/far/3.102,0
3.103,section,3,3.1,Independent pricing,,https://www.acquisition.gov/far/3.103,0
3.103-1,section,3,3.1,Solicitation provision,,https://www.acquisition.gov/far/3.103-1,548
3.103-2,section,3,3.1,Evaluating the certification,,https://www.acquisition.gov/far/3.103-2,2665
3.103-3,section,3,3.1,The need for further certifications,,https://www.acquisition.gov/far/3.103-3,302
3.104,section,3,3.1,Procurement integrity,,https://www.acquisition.gov/far/3.104,0
3.104-1,section,3,3.1,Definitions,,https://www.acquisition.gov/far/3.104-1,5901
3.104-2,section,3,3.1,General,,https://www.acquisition.gov/far/3.104-2,2840
3.104-3,section,3,3.1,"Statutory and related prohibitions, restrictions, and requirements",,https://www.acquisition.gov/far/3.104-3,5150
3.104-4,section,3,3.1,"Disclosure, protection, and marking of contractor bid or proposal information and source selection information",,https://www.acquisition.gov/far/3.104-4,4676
3.104-5,section,3,3.1,Disqualification,,https://www.acquisition.gov/far/3.104-5,2493
3.104-6,section,3,3.1,Ethics advisory opinions regarding prohibitions on a former official’s acceptance of compensation from a contractor,,https://www.acquisition.gov/far/3.104-6,2607
3.104-7,section,3,3.1,Violations or possible violations,,https://www.acquisition.gov/far/3.104-7,4095
3.104-8,section,3,3.1,"Criminal and civil penalties, and further administrative remedies",,https://www.acquisition.gov/far/3.104-8,995
3.104-9,section,3,3.1,Contract clauses,,https://www.acquisition.gov/far/3.104-9,343
3.201,section,3,3.2,Applicability,,https://www.acquisition.gov/far/3.201,157
3.202,section,3,3.2,Contract clause,,https://www.acquisition.gov/far/3.202,356
3.203,section,3,3.2,Reporting suspected violations of the Gratuities clause,,https://www.acquisition.gov/far/3.203,470
3.204,section,3,3.2,Treatment of violations,,https://www.acquisition.gov/far/3.204,1140
3.301,section,3,3.3,General,,https://www.acquisition.gov/far/3.301,851
3.302,section,3,3.3,Definitions,,https://www.acquisition.gov/far/3.302,249
3.303,section,3,3.3,Reporting suspected antitrust violations,,https://www.acquisition.gov/far/3.303,3109
3.400,section,3,3.4,Scope of subpart,,https://www.acquisition.gov/far/3.400,202
3.401,section,3,3.4,Definitions,,https://www.acquisition.gov/far/3.401,1132
3.402,section,3,3.4,Statutory requirements,,https://www.acquisition.gov/far/3.402,858
3.403,section,3,3.4,Applicability,,https://www.acquisition.gov/far/3.403,148
3.404,section,3,3.4,Contract clause,,https://www.acquisition.gov/far/3.404,263
3.405,section,3,3.4,Misrepresentations or violations of the Covenant Against Contingent Fees,,https://www.acquisition.gov/far/3.405,966
3.406,section,3,3.4,Records,,https://www.acquisition.gov/far/3.406,435
3.501,section,3,3.5,Buying-in,,https://www.acquisition.gov/far/3.501,0
3.501-1,section,3,3.5,Definition,,https://www.acquisition.gov/far/3.501-1,326
3.501-2,section,3,3.5,General,,https://www.acquisition.gov/far/3.501-2,1062
3.502,section,3,3.5,Subcontractor kickbacks,,https://www.acquisition.gov/far/3.502,0
3.502-1,section,3,3.5,Definitions,,https://www.acquisition.gov/far/3.502-1,1544
3.502-2,section,3,3.5,Subcontractor kickbacks,,https://www.acquisition.gov/far/3.502-2,4760
3.502-3,section,3,3.5,Contract clause,,https://www.acquisition.gov/far/3.502-3,216
3.503,section,3,3.5,Unreasonable restrictions on subcontractor sales,,https://www.acquisition.gov/far/3.503,0
3.503-1,section,3,3.5,Policy,,https://www.acquisition.gov/far/3.503-1,317
3.503-2,section,3,3.5,Contract clause,,https://www.acquisition.gov/far/3.503-2,328
3.601,section,3,3.6,Policy,,https://www.acquisition.gov/far/3.601,1034
3.602,section,3,3.6,Exceptions,,https://www.acquisition.gov/far/3.602,265
3.603,section,3,3.6,Responsibilities of the contracting officer,,https://www.acquisition.gov/far/3.603,554
3.700,section,3,3.7,Scope of subpart,,https://www.acquisition.gov/far/3.700,1076
3.701,section,3,3.7,Purpose,,https://www.acquisition.gov/far/3.701,889
3.702,section,3,3.7,Definition,,https://www.acquisition.gov/far/3.702,150
3.703,section,3,3.7,Authority,,https://www.acquisition.gov/far/3.703,1142
3.704,section,3,3.7,Policy,,https://www.acquisition.gov/far/3.704,1505
3.705,section,3,3.7,Procedures,,https://www.acquisition.gov/far/3.705,4108
3.800,section,3,3.8,Scope of subpart,,https://www.acquisition.gov/far/3.800,187
3.801,section,3,3.8,Definitions,,https://www.acquisition.gov/far/3.801,4257
3.802,section,3,3.8,Statutory prohibition and requirement,,https://www.acquisition.gov/far/3.802,1221
3.803,section,3,3.8,Exceptions,,https://www.acquisition.gov/far/3.803,4637
3.804,section,3,3.8,Policy,,https://www.acquisition.gov/far/3.804,256
3.805,section,3,3.8,Exemption,,https://www.acquisition.gov/far/3.805,332
3.806,section,3,3.8,Processing suspected violations,,https://www.acquisition.gov/far/3.806,132
3.807,section,3,3.8,Civil penalties,,https://www.acquisition.gov/far/3.807,273
3.808,section,3,3.8,Solicitation provision and contract clause,,https://www.acquisition.gov/far/3.808,338
3.900,section,3,3.9,Scope of subpart,,https://www.acquisition.gov/far/3.900,1303
3.901,section,3,3.9,Definitions,,https://www.acquisition.gov/far/3.901,1589
3.902,section,3,3.9,Classified information,,https://www.acquisition.gov/far/3.902,107
3.903,section,3,3.9,Policy,,https://www.acquisition.gov/far/3.903,1705
3.904,section,3,3.9,Complaints,,https://www.acquisition.gov/far/3.904,0
3.904-1,section,3,3.9,Procedures for filing complaints,,https://www.acquisition.gov/far/3.904-1,679
3.904-2,section,3,3.9,Procedures for investigating complaints,,https://www.acquisition.gov/far/3.904-2,768
3.905,section,3,3.9,Remedies and enforcement of orders,,https://www.acquisition.gov/far/3.905,0
3.905-1,section,3,3.9,Remedies,,https://www.acquisition.gov/far/3.905-1,3057
3.905-2,section,3,3.9,Enforcement of orders,,https://www.acquisition.gov/far/3.905-2,1167
3.906,section,3,3.9,Contract clause,,https://www.acquisition.gov/far/3.906,274
3.907,section,3,3.9,Whistleblower Protections Under the American Recovery and Reinvestment Act of 2009 (the Recovery Act),,https://www.acquisition.gov/far/3.907,0
3.907-1,section,3,3.9,Definitions,,https://www.acquisition.gov/far/3.907-1,1650
3.907-2,section,3,3.9,Policy,,https://www.acquisition.gov/far/3.907-2,623
3.907-3,section,3,3.9,Procedures for filing complaints,,https://www.acquisition.gov/far/3.907-3,907
3.907-4,section,3,3.9,Procedures for investigating complaints,,https://www.acquisition.gov/far/3.907-4,88
3.907-5,section,3,3.9,Access to investigative file of Inspector General,,https://www.acquisition.gov/far/3.907-5,1573
3.907-6,section,3,3.9,Remedies and enforcement authority,,https://www.acquisition.gov/far/3.907-6,4350
3.907-7,section,3,3.9,Contract clause,,https://www.acquisition.gov/far/3.907-7,199
3.908,section,3,3.9,[Reserved],,https://www.acquisition.gov/far/3.908,0
3.909,section,3,3.9,Prohibition on providing funds to an entity that requires certain internal confidentiality agreements or statements,,https://www.acquisition.gov/far/3.909,0
3.909-1,section,3,3.9,Prohibition,,https://www.acquisition.gov/far/3.909-1,1133
3.909-2,section,3,3.9,Representation by the offeror,,https://www.acquisition.gov/far/3.909-2,765
3.909-3,section,3,3.9,Solicitation provision and contract clause,,https://www.acquisition.gov/far/3.909-3,1068
3.1000,section,3,3.1,Scope of subpart,,https://www.acquisition.gov/far/3.1000,312
3.1001,section,3,3.1,Definitions,,https://www.acquisition.gov/far/3.1001,411
3.1002,section,3,3.1,Policy,,https://www.acquisition.gov/far/3.1002,659
3.1003,section,3,3.1,Requirements,,https://www.acquisition.gov/far/3.1003,2666
3.1004,section,3,3.1,Contract clauses,,https://www.acquisition.gov/far/3.1004,1165
3.1100,section,3,3.1,Scope of subpart,,https://www.acquisition.gov/far/3.1100,134
3.1101,section,3,3.1,Definitions,,https://www.acquisition.gov/far/3.1101,2960
3.1102,section,3,3.1,Policy,,https://www.acquisition.gov/far/3.1102,314
3.1103,section,3,3.1,Procedures,,https://www.acquisition.gov/far/3.1103,3317
3.1104,section,3,3.1,Mitigation or waiver,,https://www.acquisition.gov/far/3.1104,790
3.1105,section,3,3.1,Violations,,https://www.acquisition.gov/far/3.1105,304
3.1106,section,3,3.1,Contract clause,,https://www.acquisition.gov/far/3.1106,1012
Part 4,part,4,,Administrative and Information Matters,,https://www.acquisition.gov/far/part-4,4666
4.1,subpart,4,4.1,Contract Execution,,https://www.acquisition.gov/far/subpart-4.1,32
4.2,subpart,4,4.2,Contract Distribution,,https://www.acquisition.gov/far/subpart-4.2,35
4.3,subpart,4,4.3,[Reserved],,https://www.acquisition.gov/far/subpart-4.3,24
4.4,subpart,4,4.4,Safeguarding Classified Information Within Industry,,https://www.acquisition.gov/far/subpart-4.4,65
4.5,subpart,4,4.5,Electronic Commerce in Contracting,,https://www.acquisition.gov/far/subpart-4.5,48
4.6,subpart,4,4.6,Contract Reporting,,https://www.acquisition.gov/far/subpart-4.6,32
4.7,subpart,4,4.7,Contractor Records Retention,,https://www.acquisition.gov/far/subpart-4.7,42
4.8,subpart,4,4.8,Government Contract Files,,https://www.acquisition.gov/far/subpart-4.8,39
4.9,subpart,4,4.9,Taxpayer Identification Number Information,,https://www.acquisition.gov/far/subpart-4.9,56
4.10,subpart,4,4.10,Uniform Use of Line Items,,https://www.acquisition.gov/far/subpart-4.10,40
4.11,subpart,4,4.11,System for Award Management,,https://www.acquisition.gov/far/subpart-4.11,42
4.12,subpart,4,4.12,Representations and Certifications,,https://www.acquisition.gov/far/subpart-4.12,49
4.13,subpart,4,4.13,Personal Identity Verification,,https://www.acquisition.gov/far/subpart-4.13,45
4.14,subpart,4,4.14,Reporting Executive Compensation and First-Tier Subcontract Awards,,https://www.acquisition.gov/far/subpart-4.14,81
4.15,subpart,4,4.15,[Reserved],,https://www.acquisition.gov/far/subpart-4.15,25
4.16,subpart,4,4.16,Unique Procurement Instrument Identifiers,,https://www.acquisition.gov/far/subpart-4.16,56
4.17,subpart,4,4.17,Service Contracts Inventory,,https://www.acquisition.gov/far/subpart-4.17,42
4.18,subpart,4,4.18,Commercial and Government Entity Code,,https://www.acquisition.gov/far/subpart-4.18,52
4.19,subpart,4,4.19,Basic Safeguarding of Covered Contractor Information Systems,,https://www.acquisition.gov/far/subpart-4.19,75
4.20,subpart,4,4.20,"Prohibition on Contracting for Hardware, Software, and Services Developed or Provided by Kaspersky Lab",,https://www.acquisition.gov/far/subpart-4.20,115
4.21,subpart,4,4.21,Prohibition on Contracting for Certain Telecommunications and Video Surveillance Services or Equipment,,https://www.acquisition.gov/far/subpart-4.21,115
4.22,subpart,4,4.22,Prohibition on a ByteDance Covered Application.,,https://www.acquisition.gov/far/subpart-4.22,60
4.23,subpart,4,4.23,Federal Acquisition Security Council.,,https://www.acquisition.gov/far/subpart-4.23,50
4.000,section,4,4,Scope of part,,https://www.acquisition.gov/far/4.000,499
4.001,section,4,4.0,Definitions,,https://www.acquisition.gov/far/4.001,828
4.101,section,4,4.1,Contracting officer’s signature,,https://www.acquisition.gov/far/4.101,425
4.102,section,4,4.1,Contractor’s signature,,https://www.acquisition.gov/far/4.102,1614
4.103,section,4,4.1,Contract clause,,https://www.acquisition.gov/far/4.103,146
4.201,section,4,4.2,Procedures,,https://www.acquisition.gov/far/4.201,1527
4.202,section,4,4.2,Agency distribution requirements,,https://www.acquisition.gov/far/4.202,394
4.203,section,4,4.2,Taxpayer identification information,,https://www.acquisition.gov/far/4.203,2369
4.401,section,4,4.4,[Reserved],,https://www.acquisition.gov/far/4.401,0
4.402,section,4,4.4,General,,https://www.acquisition.gov/far/4.402,3282
4.403,section,4,4.4,Responsibilities of contracting officers,,https://www.acquisition.gov/far/4.403,2047
4.404,section,4,4.4,Contract clause,,https://www.acquisition.gov/far/4.404,894
4.500,section,4,4.5,Scope of subpart,,https://www.acquisition.gov/far/4.500,150
4.501,section,4,4.5,[Reserved],,https://www.acquisition.gov/far/4.501,0
4.502,section,4,4.5,Policy,,https://www.acquisition.gov/far/4.502,2116
4.600,section,4,4.6,Scope of subpart,,https://www.acquisition.gov/far/4.600,102
4.601,section,4,4.6,Definitions,,https://www.acquisition.gov/far/4.601,1517
4.602,section,4,4.6,General,,https://www.acquisition.gov/far/4.602,1803
4.603,section,4,4.6,Policy,,https://www.acquisition.gov/far/4.603,1314
4.604,section,4,4.6,Responsibilities,,https://www.acquisition.gov/far/4.604,1803
4.605,section,4,4.6,Procedures,,https://www.acquisition.gov/far/4.605,3643
4.606,section,4,4.6,Reporting Data,,https://www.acquisition.gov/far/4.606,3814
4.607,section,4,4.6,Solicitation provisions and contract clause,,https://www.acquisition.gov/far/4.607,692
4.700,section,4,4.7,Scope of subpart,,https://www.acquisition.gov/far/4.700,246
4.701,section,4,4.7,Purpose,,https://www.acquisition.gov/far/4.701,195
4.702,section,4,4.7,Applicability,,https://www.acquisition.gov/far/4.702,586
4.703,section,4,4.7,Policy,,https://www.acquisition.gov/far/4.703,3181
4.704,section,4,4.7,Calculation of retention periods,,https://www.acquisition.gov/far/4.704,965
4.705,section,4,4.7,Specific retention periods,,https://www.acquisition.gov/far/4.705,455
4.705-1,section,4,4.7,Financial and cost accounting records,,https://www.acquisition.gov/far/4.705-1,1455
4.705-2,section,4,4.7,Pay administration records,,https://www.acquisition.gov/far/4.705-2,394
4.705-3,section,4,4.7,Acquisition and supply records,,https://www.acquisition.gov/far/4.705-3,1083
4.800,section,4,4.8,Scope of subpart,,https://www.acquisition.gov/far/4.800,100
4.801,section,4,4.8,General,,https://www.acquisition.gov/far/4.801,1002
4.802,section,4,4.8,Contract files,,https://www.acquisition.gov/far/4.802,1889
4.803,section,4,4.8,Contents of contract files,,https://www.acquisition.gov/far/4.803,6447
4.804,section,4,4.8,Closeout of contract files,,https://www.acquisition.gov/far/4.804,0
4.804-1,section,4,4.8,Closeout by the office administering the contract,,https://www.acquisition.gov/far/4.804-1,1519
4.804-2,section,4,4.8,Closeout of the contracting office files if another office administers the contract,,https://www.acquisition.gov/far/4.804-2,673
4.804-3,section,4,4.8,Closeout of paying office contract files,,https://www.acquisition.gov/far/4.804-3,91
4.804-4,section,4,4.8,Physically completed contracts,,https://www.acquisition.gov/far/4.804-4,706
4.804-5,section,4,4.8,Procedures for closing out contract files,,https://www.acquisition.gov/far/4.804-5,3347
4.805,section,4,4.8,"Storage, handling, and contract files",,https://www.acquisition.gov/far/4.805,3662
4.900,section,4,4.9,Scope of subpart,,https://www.acquisition.gov/far/4.900,308
4.901,section,4,4.9,Definition,,https://www.acquisition.gov/far/4.901,230
4.902,section,4,4.9,General,,https://www.acquisition.gov/far/4.902,698
4.903,section,4,4.9,Reporting contract information to the IRS,,https://www.acquisition.gov/far/4.903,898
4.904,section,4,4.9,Reporting payment information to the IRS,,https://www.acquisition.gov/far/4.904,335
4.905,section,4,4.9,Solicitation provision,,https://www.acquisition.gov/far/4.905,249
4.1000,section,4,4.1,Scope,,https://www.acquisition.gov/far/4.1000,291
4.1001,section,4,4.1,Policy,,https://www.acquisition.gov/far/4.1001,904
4.1002,section,4,4.1,Applicability,,https://www.acquisition.gov/far/4.1002,481
4.1003,section,4,4.1,Establishing line items,,https://www.acquisition.gov/far/4.1003,1122
4.1004,section,4,4.1,Establishing subline items,,https://www.acquisition.gov/far/4.1004,1639
4.1005,section,4,4.1,Data elements for line items and subline items,,https://www.acquisition.gov/far/4.1005,0
4.1005-1,section,4,4.1,Required data elements,,https://www.acquisition.gov/far/4.1005-1,2122
4.1005-2,section,4,4.1,Exceptions,,https://www.acquisition.gov/far/4.1005-2,1956
4.1006,section,4,4.1,Modifications,,https://www.acquisition.gov/far/4.1006,226
4.1007,section,4,4.1,Solicitation alternative line item proposal,,https://www.acquisition.gov/far/4.1007,289
4.1008,section,4,4.1,Solicitation provision,,https://www.acquisition.gov/far/4.1008,88
4.1100,section,4,4.1,Scope,,https://www.acquisition.gov/far/4.1100,322
4.1101,section,4,4.1,Definition,,https://www.acquisition.gov/far/4.1101,115
4.1102,section,4,4.1,Policy,,https://www.acquisition.gov/far/4.1102,4574
4.1103,section,4,4.1,Procedures,,https://www.acquisition.gov/far/4.1103,1289
4.1104,section,4,4.1,Disaster Response Registry,,https://www.acquisition.gov/far/4.1104,345
4.1105,section,4,4.1,Solicitation provision and contract clauses,,https://www.acquisition.gov/far/4.1105,475
4.1200,section,4,4.1,Scope,,https://www.acquisition.gov/far/4.1200,508
4.1201,section,4,4.1,Policy,,https://www.acquisition.gov/far/4.1201,1651
4.1202,section,4,4.1,Solicitation provision and contract clause,,https://www.acquisition.gov/far/4.1202,3422
4.1300,section,4,4.1,Scope of subpart,,https://www.acquisition.gov/far/4.1300,501
4.1301,section,4,4.1,Policy,,https://www.acquisition.gov/far/4.1301,1516
4.1302,section,4,4.1,Acquisition of approved products and services for personal identity verification,,https://www.acquisition.gov/far/4.1302,1107
4.1303,section,4,4.1,Contract clause,,https://www.acquisition.gov/far/4.1303,444
4.1400,section,4,4.1,Scope of subpart,,https://www.acquisition.gov/far/4.1400,470
4.1401,section,4,4.1,Applicability,,https://www.acquisition.gov/far/4.1401,241
4.1402,section,4,4.1,Procedures,,https://www.acquisition.gov/far/4.1402,1992
4.1403,section,4,4.1,Contract clause,,https://www.acquisition.gov/far/4.1403,392
4.1500,section,4,4.1,[Reserved],,https://www.acquisition.gov/far/4.1500,0
4.1501,section,4,4.1,[Reserved],,https://www.acquisition.gov/far/4.1501,0
4.1502,section,4,4.1,[Reserved],,https://www.acquisition.gov/far/4.1502,0
4.1600,section,4,4.1,Scope of subpart,,https://www.acquisition.gov/far/4.1600,199
4.1601,section,4,4.1,Policy,,https://www.acquisition.gov/far/4.1601,2023
4.1602,section,4,4.1,Identifying the PIID and supplementary PIID,,https://www.acquisition.gov/far/4.1602,2611
4.1603,section,4,4.1,Procedures,,https://www.acquisition.gov/far/4.1603,5448
4.1700,section,4,4.1,Scope of subpart,,https://www.acquisition.gov/far/4.1700,498
4.1701,section,4,4.1,Definitions,,https://www.acquisition.gov/far/4.1701,645
4.1702,section,4,4.1,Applicability,,https://www.acquisition.gov/far/4.1702,782
4.1703,section,4,4.1,Reporting requirements,,https://www.acquisition.gov/far/4.1703,3044
4.1704,section,4,4.1,Contracting officer responsibilities,,https://www.acquisition.gov/far/4.1704,891
4.1705,section,4,4.1,Contract clauses,,https://www.acquisition.gov/far/4.1705,941
4.1800,section,4,4.1,Scope of subpart,,https://www.acquisition.gov/far/4.1800,714
4.1801,section,4,4.1,Definitions,,https://www.acquisition.gov/far/4.1801,605
4.1802,section,4,4.1,Policy,,https://www.acquisition.gov/far/4.1802,994
4.1803,section,4,4.1,Verifying CAGE codes prior to award,,https://www.acquisition.gov/far/4.1803,386
4.1804,section,4,4.1,Solicitation provisions and contract clause,,https://www.acquisition.gov/far/4.1804,804
4.1901,section,4,4.1,Definitions,,https://www.acquisition.gov/far/4.1901,1161
4.1902,section,4,4.1,Applicability,,https://www.acquisition.gov/far/4.1902,246
4.1903,section,4,4.1,Contract clause,,https://www.acquisition.gov/far/4.1903,301
4.2001,section,4,4.2,Definitions,,https://www.acquisition.gov/far/4.2001,730
4.2002,section,4,4.2,Prohibition,,https://www.acquisition.gov/far/4.2002,576
4.2003,section,4,4.2,Notification,,https://www.acquisition.gov/far/4.2003,88
4.2004,section,4,4.2,Contract clause,,https://www.acquisition.gov/far/4.2004,218
4.2100,section,4,4.2,Scope of subpart,,https://www.acquisition.gov/far/4.2100,170
4.2101,section,4,4.2,Definitions,,https://www.acquisition.gov/far/4.2101,3954
4.2102,section,4,4.2,Prohibition,,https://www.acquisition.gov/far/4.2102,3133
4.2103,section,4,4.2,Procedures,,https://www.acquisition.gov/far/4.2103,2124
4.2104,section,4,4.2,Waivers,,https://www.acquisition.gov/far/4.2104,4706
